1 1:-27.621745920366372 2:-7.740742649510768 3:-9.793117884538006 4:-1.3858638839654807 5:7.100162175532441 6:-3.8593156545698255 7:-4.665698648426053 8:-0.5004505843104852 9:1.8085772467312182 10:-0.20302600902419377 11:0.5408941843370393 12:4.510060021470346 
1 1:-26.970065220818935 2:-4.872428774475046 3:-12.294165025313726 4:-0.005691314968104821 5:10.974127421890469 6:-3.391177740094828 7:-2.4882399114906413 8:3.298573139188329 9:4.427152937599716 10:-0.9598375077029131 11:0.43523309718312797 12:2.5199636758434134 
1 1:-44.531244889084064 2:-2.2619182992933298 3:-7.7516385457025105 4:-0.8351763649934489 5:13.704876468976035 6:-9.098095923244838 7:-6.95206384965059 8:3.0706867269445346 9:5.03184417917557 10:-8.255345580845916 11:-4.571676626366202 12:2.466733049672378 
1 1:-44.088376779549066 2:-2.607232531171431 3:-8.26280375660601 4:0.2546427702154045 5:15.140637196037005 6:-11.57904276137396 7:-9.444368852496474 8:8.394273462526982 9:5.7969952735163375 10:-8.551028293078295 11:-2.5938827903330752 12:2.3218230345840025 
1 1:-35.11787928692026 2:-6.109973866188763 3:-13.633941494646713 4:2.2413876369883 5:15.189807345174147 6:-10.65493004691962 7:-5.488381798780279 8:6.017458302723415 9:4.136823119585156 10:-6.024885452325461 11:-2.267444465305375 12:4.336607822917472 
1 1:-34.979378577732206 2:-7.158938571954749 3:-15.668715528099465 4:0.3957977526816259 5:16.666014514426802 6:-10.597765077821082 7:-3.7198372242129025 8:10.181141561406035 9:8.045476386345268 10:-5.76401513495286 11:0.49841616937716204 12:5.011491677723704 
1 1:-31.31970069842512 2:-10.66989281919183 3:-18.194311616764377 4:2.86801147593297 5:15.791406851184739 6:-11.196902271492243 7:-7.653787117638356 8:6.329690377793189 9:5.169302586496355 10:-8.08352630899612 11:-3.5815014380453745 12:3.1242943267909165 
1 1:-28.827535509717336 2:-9.337915403469548 3:-15.749453954773836 4:4.6959697237461775 5:14.646882534791128 6:-9.266081465963712 7:-8.845773365808522 8:4.771132277897331 9:4.540886378862644 10:-6.014279660521051 11:-0.6030051227739678 12:6.26455528115976 
1 1:-34.02130134296447 2:-6.60668631047858 3:-14.608456959684764 4:2.1779411840723157 5:18.44583159676821 6:-8.41700892986534 7:-8.291020046964118 8:5.443445327893896 9:7.07519004233075 10:-7.137909248052128 11:-3.3779667992404367 12:4.794936358927861 
1 1:-32.298721863471044 2:-5.21543365770078 3:-19.519752080138236 4:5.006294603488611 5:15.87046064821725 6:-6.114687296823295 7:-11.8595306585189 8:5.255259195067081 9:7.792403679453428 10:-2.4666504462549756 11:-2.370831784098778 12:4.234309360191631 
1 1:-44.13588224406838 2:4.005008042993557 3:-24.835304068493862 4:4.836527401424573 5:15.98806193249741 6:1.443718741332296 7:-13.719313376734084 8:6.063056149841154 9:5.957183525749661 10:-1.2144378741102888 11:-5.779321411238004 12:2.3691082088313493 
1 1:-31.72960614593309 2:1.09612627203501 3:-23.093446804620665 4:1.0771766710699435 5:15.476878918462353 6:-2.780484972230096 7:-13.895188392618689 8:1.1396756698850115 9:5.213846022466482 10:-2.866656258139087 11:-7.110914692686871 12:0.7191802411279569 
